Buchungen,Row,Error,Unique,Base Row,SysCode,Sektion,Datum,DatumBeleg,DatumValuta,Beleg,BelegProtokoll,BelegTyp,BelegOriginal,RechnungBeleg,RechnungAusgedruckt,DokLink,ExterneReferenz,Beschreibung,Bemerkungen,KontoSoll,KontoSollBeschr,KontoHaben,KontoHabenBeschr,Betrag,Saldo,MwStCode,MwStArtBetrag,MwStZusatzInfo,MwStUStProz,MwStProzentEffektiv,MwStSteuerbar,MwStBetrag,MwStKonto,MwStKontoBeschr,MwStProzentNichtAbziehbar,MwStNichtAbziehbar,MwStBuch,MwStUStNummer,KS1,KS1Beschr,KS2,KS2Beschr,KS3,KS3Beschr,Segment,DatumFälligkeit,DatumErwartet,DatumZahl,SperreNr,SperreBetrag,SperreFortlaufend,SperreZeile
,1,0,1,0,,,2024-01-03T00:00:00.000,,,1,,,,,,,,Isa Aksoy Januar,,5000,Lohnaufwand,1020,Bankguthaben,6000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0,0,0,,,2024-01-08T00:00:00.000,,,3,,,,,,,,Bezug,,5820,Spesen,1020,Bankguthaben,1000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,0,0,,,2024-01-08T00:00:00.000,,,4,,,,,,,,Steiner Beck,,5820,Spesen,1020,Bankguthaben,7.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,0,0,0,,,2024-01-08T00:00:00.000,,,5,,,,,,,,Doco Petrol,,6210,Betriebsstoffe,1020,Bankguthaben,14.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0,0,0,,,2024-01-08T00:00:00.000,,,6,,,,,,,,"BP, TS",,6210,Betriebsstoffe,1020,Bankguthaben,16.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,0,0,0,,,2024-01-08T00:00:00.000,,,7,,,,,,,,"Spesen, Hasnur",,5820,Spesen,1020,Bankguthaben,19.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,0,0,0,,,2024-01-08T00:00:00.000,,,8,,,,,,,,"Spesen, Bebenco",,5820,Spesen,1020,Bankguthaben,23.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0,0,0,,,2024-01-08T00:00:00.000,,,9,,,,,,,,"Spesen, Kuzey",,5820,Spesen,1020,Bankguthaben,56.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0,0,0,,,2024-01-08T00:00:00.000,,,10,,,,,,,,"Spesen, M43",,5820,Spesen,1020,Bankguthaben,59.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0,0,0,,,2024-01-08T00:00:00.000,,,11,,,,,,,,"Spesen, Seve",,5820,Spesen,1020,Bankguthaben,100.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0,0,0,,,2024-01-08T00:00:00.000,,,12,,,,,,,,"Spesen, Kuban",,5820,Spesen,1020,Bankguthaben,443.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0,0,0,,,2024-01-09T00:00:00.000,,,13,,,,,,,,"Spesen, JP",,5820,Spesen,1020,Bankguthaben,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0,0,0,,,2024-01-09T00:00:00.000,,,14,,,,,,,,"Spesen, Asfinag",,5820,Spesen,1020,Bankguthaben,8.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0,0,0,,,2024-01-09T00:00:00.000,,,15,,,,,,,,"Spesen, JP",,5820,Spesen,1020,Bankguthaben,12.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0,0,0,,,2024-01-09T00:00:00.000,,,16,,,,,,,,"Spesen, Asfinag",,5820,Spesen,1020,Bankguthaben,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,0,0,0,,,2024-01-09T00:00:00.000,,,17,,,,,,,,"Spesen, Yigitefe",,5820,Spesen,1020,Bankguthaben,26.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0,0,0,,,2024-01-10T00:00:00.000,,,18,,,,,,,,Migros,,5820,Spesen,1020,Bankguthaben,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,0,0,0,,,2024-01-10T00:00:00.000,,,19,,,,,,,,"Spesen, OMV",,5820,Spesen,1020,Bankguthaben,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,0,0,0,,,2024-01-10T00:00:00.000,,,20,,,,,,,,Die Post,,6513,Porti,1020,Bankguthaben,87.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0,0,0,,,2024-01-10T00:00:00.000,,,21,,,,,,,,"Iso Center, Mat.",,4000,Materialaufwand Produktion,1020,Bankguthaben,804.90,,M81,,,8.10,8.10,744.59,60.31,2200,Umsatzsteuer (UST),,,60.31,,,,,,,,,,,,,,,
